"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Feb 14 08:25:40 CET 2021","Sun Feb 14 08:25:45 CET 2021","5312","","SaveMillions Navigation","","SaveMillions Navigation","should compare shop XC90 R-Design page screenshot","should compare shop XC90 R-Design page screenshot",""
"passed","Sun Feb 14 08:25:28 CET 2021","Sun Feb 14 08:25:35 CET 2021","6993","","SaveMillions Navigation","","SaveMillions Navigation","should compare Learn More about safety page screenshot","should compare Learn More about safety page screenshot",""
"passed","Sun Feb 14 08:25:46 CET 2021","Sun Feb 14 08:25:51 CET 2021","4711","","SaveMillions Navigation","","SaveMillions Navigation","should compare volvo recharge page screenshot","should compare volvo recharge page screenshot",""
"passed","Sun Feb 14 08:24:54 CET 2021","Sun Feb 14 08:25:35 CET 2021","40852","","Save Millions Full page","","Save Millions Full page","should compare Full page screenshot with baseline","should compare Full page screenshot with baseline",""
"passed","Sun Feb 14 08:24:53 CET 2021","Sun Feb 14 08:25:12 CET 2021","19494","","SaveMillions Navigation","","SaveMillions Navigation","should compare NavigationHeader Screenshot","should compare NavigationHeader Screenshot",""
"passed","Sun Feb 14 08:24:54 CET 2021","Sun Feb 14 08:25:33 CET 2021","39072","","Save Millions Tabbable page","","Save Millions Tabbable page","should compare Tabbable page screenshot with baseline","should compare Tabbable page screenshot with baseline",""
"passed","Sun Feb 14 08:24:58 CET 2021","Sun Feb 14 08:25:14 CET 2021","16411","","SaveMillions Navigation","","SaveMillions Navigation","should compare NavigationHeader Screenshot","should compare NavigationHeader Screenshot",""
"passed","Sun Feb 14 08:25:45 CET 2021","Sun Feb 14 08:25:50 CET 2021","5030","","SaveMillions Navigation","","SaveMillions Navigation","should compare volvo recharge page screenshot","should compare volvo recharge page screenshot",""
"passed","Sun Feb 14 08:24:55 CET 2021","Sun Feb 14 08:25:31 CET 2021","35801","","Save Millions Tabbable page","","Save Millions Tabbable page","should compare Tabbable page screenshot with baseline","should compare Tabbable page screenshot with baseline",""
"passed","Sun Feb 14 08:25:21 CET 2021","Sun Feb 14 08:25:28 CET 2021","6767","","SaveMillions Navigation","","SaveMillions Navigation","should compare Learn More button navigation screenshot","should compare Learn More button navigation screenshot",""
"passed","Sun Feb 14 08:25:12 CET 2021","Sun Feb 14 08:25:20 CET 2021","8134","","SaveMillions Navigation","","SaveMillions Navigation","should compare side navigation menu screenshot","should compare side navigation menu screenshot",""
"passed","Sun Feb 14 08:25:41 CET 2021","Sun Feb 14 08:25:46 CET 2021","5112","","SaveMillions Navigation","","SaveMillions Navigation","should compare shop XC90 R-Design page screenshot","should compare shop XC90 R-Design page screenshot",""
"passed","Sun Feb 14 08:25:35 CET 2021","Sun Feb 14 08:25:41 CET 2021","5636","","SaveMillions Navigation","","SaveMillions Navigation","should compare Learn XC90 Recharge page screenshot","should compare Learn XC90 Recharge page screenshot",""
"passed","Sun Feb 14 08:25:20 CET 2021","Sun Feb 14 08:25:27 CET 2021","6777","","SaveMillions Navigation","","SaveMillions Navigation","should compare Learn More button navigation screenshot","should compare Learn More button navigation screenshot",""
"passed","Sun Feb 14 08:25:51 CET 2021","Sun Feb 14 08:25:54 CET 2021","3925","","SaveMillions Navigation","","SaveMillions Navigation","should compare Mild Hybrids page screenshot","should compare Mild Hybrids page screenshot",""
"passed","Sun Feb 14 08:25:14 CET 2021","Sun Feb 14 08:25:21 CET 2021","7015","","SaveMillions Navigation","","SaveMillions Navigation","should compare side navigation menu screenshot","should compare side navigation menu screenshot",""
"passed","Sun Feb 14 08:25:34 CET 2021","Sun Feb 14 08:25:40 CET 2021","6240","","SaveMillions Navigation","","SaveMillions Navigation","should compare Learn XC90 Recharge page screenshot","should compare Learn XC90 Recharge page screenshot",""
"passed","Sun Feb 14 08:25:50 CET 2021","Sun Feb 14 08:25:55 CET 2021","4462","","SaveMillions Navigation","","SaveMillions Navigation","should compare Mild Hybrids page screenshot","should compare Mild Hybrids page screenshot",""
"passed","Sun Feb 14 08:25:27 CET 2021","Sun Feb 14 08:25:34 CET 2021","6382","","SaveMillions Navigation","","SaveMillions Navigation","should compare Learn More about safety page screenshot","should compare Learn More about safety page screenshot",""
"passed","Sun Feb 14 08:24:54 CET 2021","Sun Feb 14 08:25:27 CET 2021","33034","","Save Millions Full page","","Save Millions Full page","should compare Full page screenshot with baseline","should compare Full page screenshot with baseline",""
